user_id,subscription_type,join_date,last_payment date,country,age,gender,device,plan_duration
166,Premium,16-04-22,26-06-23,France,42,Male,Laptop,1 Month
167,Basic,07-04-22,24-06-23,Brazil,29,Male,Smartphone,1 Month
168,Standard,11-12-22,28-06-23,Mexico,29,Male,Tablet,1 Month
169,Premium,20-01-23,26-06-23,Spain,49,Male,Tablet,1 Month
170,Basic,12-01-23,25-06-23,Italy,32,Male,Laptop,1 Month
171,Premium,29-04-22,24-06-23,United States,35,Female,Tablet,1 Month
172,Basic,27-04-22,26-06-23,Canada,39,Female,Smartphone,1 Month
173,Standard,03-06-22,25-06-23,United Kingdom,40,Male,Smartphone,1 Month
174,Standard,23-04-22,25-06-23,Australia,39,Female,Tablet,1 Month
175,Basic,22-04-22,26-06-23,Germany,47,Female,Laptop,1 Month
176,Premium,12-04-22,25-06-23,France,37,Female,Smart TV,1 Month
177,Basic,23-05-22,26-06-23,Brazil,27,Female,Smartphone,1 Month
178,Standard,19-10-22,26-06-23,Mexico,49,Female,Laptop,1 Month
179,Premium,03-12-22,26-06-23,Spain,30,Female,Tablet,1 Month
180,Basic,26-09-22,25-06-23,Italy,36,Male,Laptop,1 Month
181,Premium,16-06-22,27-06-23,United States,33,Male,Smartphone,1 Month
182,Basic,16-05-22,25-06-23,Canada,30,Female,Laptop,1 Month
183,Standard,26-05-22,26-06-23,United Kingdom,36,Female,Tablet,1 Month
184,Standard,26-04-22,25-06-23,Australia,28,Female,Laptop,1 Month
185,Basic,12-05-22,25-06-23,Germany,47,Female,Tablet,1 Month
186,Premium,01-03-22,25-06-23,France,33,Female,Smart TV,1 Month
187,Basic,10-07-22,24-06-23,Brazil,49,Female,Laptop,1 Month
188,Standard,16-07-22,27-06-23,Mexico,44,Female,Smart TV,1 Month
189,Premium,02-09-22,26-06-23,Spain,47,Male,Smart TV,1 Month
190,Basic,18-09-22,26-06-23,Italy,37,Female,Tablet,1 Month
191,Premium,08-07-22,25-06-23,United States,46,Male,Laptop,1 Month
192,Basic,26-06-22,27-06-23,Canada,50,Female,Smartphone,1 Month
193,Standard,05-08-22,25-06-23,United Kingdom,50,Male,Laptop,1 Month
194,Standard,19-08-22,27-06-23,Australia,37,Male,Laptop,1 Month
195,Basic,26-08-22,24-06-23,Germany,50,Female,Smartphone,1 Month
196,Premium,09-06-22,24-06-23,France,45,Female,Smart TV,1 Month
197,Basic,27-09-22,23-06-23,Brazil,45,Male,Tablet,1 Month
198,Standard,18-10-22,27-06-23,Mexico,49,Female,Laptop,1 Month
199,Premium,31-10-22,25-06-23,Spain,39,Female,Tablet,1 Month
200,Basic,13-10-22,25-06-23,Italy,45,Female,Tablet,1 Month
201,Premium,04-07-22,27-06-23,United States,49,Female,Smart TV,1 Month
202,Basic,26-06-22,27-06-23,Canada,31,Female,Tablet,1 Month
203,Standard,31-07-22,24-06-23,United Kingdom,42,Female,Smart TV,1 Month
204,Standard,27-07-22,24-06-23,Australia,37,Male,Smartphone,1 Month
205,Basic,30-07-22,25-06-23,Germany,30,Male,Smart TV,1 Month
206,Premium,06-08-22,25-06-23,France,40,Male,Smartphone,1 Month
207,Basic,16-09-22,24-06-23,Brazil,45,Female,Smartphone,1 Month
208,Standard,05-01-23,23-06-23,Mexico,36,Female,Tablet,1 Month
209,Premium,10-12-22,24-06-23,Spain,41,Male,Laptop,1 Month
210,Basic,22-11-22,26-06-23,Italy,49,Female,Laptop,1 Month
211,Premium,15-11-22,27-06-23,United States,40,Male,Tablet,1 Month
212,Basic,28-10-22,26-06-23,Canada,36,Male,Smart TV,1 Month
213,Standard,08-09-22,24-06-23,United Kingdom,49,Female,Smart TV,1 Month
214,Standard,30-06-22,28-06-23,Australia,43,Female,Laptop,1 Month
215,Basic,02-09-22,27-06-23,Germany,50,Female,Smartphone,1 Month
216,Premium,08-10-22,24-06-23,France,51,Female,Smart TV,1 Month
217,Basic,13-11-22,25-06-23,Brazil,44,Male,Smart TV,1 Month
218,Standard,15-11-22,28-06-23,Mexico,27,Male,Tablet,1 Month
219,Premium,16-11-22,25-06-23,Spain,46,Female,Smartphone,1 Month
220,Basic,26-11-22,27-06-23,Italy,29,Male,Tablet,1 Month
221,Basic,26-11-22,25-06-23,United States,47,Male,Smartphone,1 Month
222,Basic,12-12-22,26-06-23,Canada,48,Female,Smartphone,1 Month
223,Standard,08-01-23,25-06-23,United Kingdom,34,Female,Smartphone,1 Month
224,Premium,27-11-22,29-06-23,Australia,40,Female,Smartphone,1 Month
225,Basic,11-10-22,27-06-23,Germany,48,Female,Smartphone,1 Month
226,Basic,27-09-22,26-06-23,France,35,Male,Smartphone,1 Month
227,Premium,30-09-22,24-06-23,Brazil,51,Female,Smartphone,1 Month
228,Standard,04-11-22,27-06-23,Mexico,39,Male,Smart TV,1 Month
229,Standard,04-11-22,27-06-23,Spain,29,Male,Smartphone,1 Month
230,Basic,30-10-22,26-06-23,Italy,51,Male,Laptop,1 Month
231,Premium,29-10-22,24-06-23,United States,43,Male,Smartphone,1 Month
232,Standard,30-08-22,27-06-23,Canada,28,Male,Smartphone,1 Month
233,Basic,07-07-22,26-06-23,United Kingdom,50,Female,Smart TV,1 Month
234,Standard,26-05-22,27-06-23,Australia,44,Female,Laptop,1 Month
235,Premium,17-05-22,25-06-23,Germany,50,Male,Laptop,1 Month
236,Basic,08-05-22,26-06-23,France,39,Female,Smartphone,1 Month
237,Premium,07-07-22,25-06-23,Brazil,46,Female,Tablet,1 Month
238,Standard,17-07-22,28-06-23,Mexico,48,Male,Smartphone,1 Month
239,Basic,23-12-22,26-06-23,Spain,38,Male,Smart TV,1 Month
240,Standard,27-06-22,26-06-23,Italy,38,Male,Smartphone,1 Month
241,Premium,31-05-22,27-06-23,United States,47,Male,Laptop,1 Month
242,Basic,02-06-22,26-06-23,Canada,37,Male,Laptop,1 Month
243,Standard,25-05-22,27-06-23,United Kingdom,33,Male,Laptop,1 Month
244,Premium,26-04-22,26-06-23,Australia,28,Male,Smartphone,1 Month
245,Basic,20-04-22,26-06-23,Germany,47,Male,Smart TV,1 Month
246,Premium,03-05-22,25-06-23,France,38,Female,Smartphone,1 Month
247,Basic,07-07-22,27-06-23,Brazil,27,Male,Smart TV,1 Month
248,Standard,15-09-22,26-06-23,Mexico,34,Male,Smartphone,1 Month
249,Standard,16-09-22,27-06-23,Spain,42,Female,Smartphone,1 Month
250,Basic,09-08-22,26-06-23,Italy,28,Male,Laptop,1 Month
251,Premium,25-06-22,27-06-23,United States,30,Male,Laptop,1 Month
252,Basic,30-05-22,26-06-23,Canada,38,Female,Smartphone,1 Month
253,Standard,21-05-22,25-06-23,United Kingdom,45,Female,Tablet,1 Month
254,Premium,20-05-22,27-06-23,Australia,48,Female,Smart TV,1 Month
255,Basic,20-05-22,26-06-23,Germany,46,Female,Smart TV,1 Month
256,Premium,30-05-22,26-06-23,France,34,Male,Tablet,1 Month
257,Basic,17-06-22,25-06-23,Brazil,46,Male,Laptop,1 Month
258,Standard,16-07-22,28-06-23,Mexico,41,Female,Smartphone,1 Month
259,Standard,05-08-22,26-06-23,Spain,28,Male,Smartphone,1 Month
260,Basic,17-07-22,26-06-23,Italy,27,Female,Smartphone,1 Month
261,Premium,04-07-22,25-06-23,United States,27,Female,Smart TV,1 Month
262,Basic,13-07-22,26-06-23,Canada,28,Female,Tablet,1 Month
263,Standard,25-07-22,24-06-23,United Kingdom,46,Male,Smartphone,1 Month
264,Premium,09-08-22,27-06-23,Australia,51,Male,Smartphone,1 Month
265,Basic,05-08-22,25-06-23,Germany,32,Female,Smart TV,1 Month
266,Premium,17-08-22,26-06-23,France,44,Male,Tablet,1 Month
267,Basic,08-09-22,27-06-23,Brazil,44,Female,Laptop,1 Month
268,Standard,16-10-22,28-06-23,Mexico,34,Female,Smart TV,1 Month
269,Standard,15-10-22,25-06-23,Spain,29,Female,Laptop,1 Month
270,Basic,04-09-22,25-06-23,Italy,47,Male,Smart TV,1 Month
271,Premium,20-08-22,26-06-23,United States,41,Male,Laptop,1 Month
272,Basic,10-08-22,26-06-23,Canada,36,Female,Smartphone,1 Month
273,Standard,02-08-22,25-06-23,United Kingdom,28,Female,Laptop,1 Month
274,Premium,01-08-22,24-06-23,Australia,27,Female,Tablet,1 Month
275,Basic,06-08-22,25-06-23,Germany,34,Female,Laptop,1 Month
276,Premium,09-08-22,25-06-23,France,34,Female,Smart TV,1 Month
277,Basic,12-09-22,26-06-23,Brazil,37,Female,Tablet,1 Month
278,Standard,27-09-22,26-06-23,Mexico,34,Female,Laptop,1 Month
279,Standard,12-11-22,24-06-23,Spain,50,Female,Laptop,1 Month
280,Basic,13-11-22,27-06-23,Italy,34,Female,Laptop,1 Month
281,Premium,02-11-22,28-06-23,United States,33,Female,Smart TV,1 Month
282,Basic,30-10-22,25-06-23,Canada,33,Male,Smart TV,1 Month
283,Standard,30-06-22,26-06-23,United Kingdom,46,Male,Smartphone,1 Month
284,Premium,04-08-22,28-06-23,Australia,39,Female,Smartphone,1 Month
285,Basic,01-09-22,27-06-23,Germany,42,Female,Laptop,1 Month
286,Premium,14-10-22,27-06-23,France,50,Female,Laptop,1 Month
287,Basic,16-10-22,26-06-23,Brazil,43,Male,Smartphone,1 Month
288,Standard,20-10-22,28-06-23,Mexico,51,Male,Smart TV,1 Month
289,Standard,20-11-22,25-06-23,Spain,34,Female,Smart TV,1 Month
290,Basic,25-11-22,30-06-23,Italy,48,Male,Smartphone,1 Month
291,Premium,04-12-22,27-06-23,United States,29,Female,Tablet,1 Month
292,Basic,12-12-22,27-06-23,Canada,43,Female,Laptop,1 Month
293,Standard,09-12-22,25-06-23,United Kingdom,39,Female,Laptop,1 Month
294,Premium,15-10-22,29-06-23,Australia,50,Male,Laptop,1 Month
295,Basic,03-10-22,27-06-23,Germany,45,Male,Laptop,1 Month
296,Basic,01-10-22,27-06-23,France,48,Female,Tablet,1 Month
297,Basic,02-11-22,24-06-23,Brazil,40,Male,Smartphone,1 Month
298,Standard,03-11-22,27-06-23,Mexico,41,Male,Tablet,1 Month
299,Premium,30-10-22,27-06-23,Spain,27,Male,Smartphone,1 Month
300,Basic,30-10-22,28-06-23,Italy,36,Male,Laptop,1 Month
301,Basic,27-09-22,24-06-23,United States,36,Female,Laptop,1 Month
302,Premium,14-09-22,27-06-23,Canada,44,Male,Tablet,1 Month
303,Standard,11-06-22,26-06-23,United Kingdom,45,Male,Tablet,1 Month
304,Standard,11-06-22,29-06-23,Australia,33,Female,Smartphone,1 Month
305,Basic,24-05-22,26-06-23,Germany,47,Male,Smart TV,1 Month
306,Premium,06-07-22,27-06-23,France,45,Male,Tablet,1 Month
307,Standard,08-07-22,28-06-23,Brazil,29,Female,Smart TV,1 Month
308,Basic,27-10-22,27-06-23,Mexico,31,Male,Smart TV,1 Month
309,Standard,09-08-22,28-06-23,Spain,31,Male,Smartphone,1 Month
310,Premium,14-06-22,26-06-23,Italy,49,Female,Smartphone,1 Month
311,Basic,07-06-22,27-06-23,United States,29,Female,Smartphone,1 Month
312,Premium,27-05-22,26-06-23,Canada,50,Male,Laptop,1 Month
313,Standard,27-05-22,27-06-23,United Kingdom,36,Female,Laptop,1 Month
314,Basic,21-04-22,26-06-23,Australia,28,Male,Laptop,1 Month
315,Standard,28-04-22,27-06-23,Germany,47,Female,Smart TV,1 Month
316,Premium,27-05-22,25-06-23,France,50,Female,Laptop,1 Month
317,Basic,25-08-22,28-06-23,Brazil,44,Female,Tablet,1 Month
318,Standard,02-09-22,27-06-23,Mexico,39,Female,Laptop,1 Month
319,Premium,22-08-22,26-06-23,Spain,32,Female,Smartphone,1 Month
320,Basic,02-08-22,27-06-23,Italy,30,Female,Laptop,1 Month
321,Premium,22-06-22,27-06-23,United States,33,Female,Smartphone,1 Month
322,Basic,04-06-22,27-06-23,Canada,44,Male,Smartphone,1 Month
323,Standard,31-05-22,26-06-23,United Kingdom,40,Male,Smartphone,1 Month
324,Standard,22-05-22,27-06-23,Australia,32,Male,Tablet,1 Month
325,Basic,29-05-22,27-06-23,Germany,32,Male,Tablet,1 Month
326,Premium,11-06-22,27-06-23,France,30,Male,Smartphone,1 Month
327,Basic,06-07-22,26-06-23,Brazil,32,Female,Smartphone,1 Month
328,Standard,26-07-22,27-06-23,Mexico,45,Female,Tablet,1 Month
329,Premium,22-07-22,25-06-23,Spain,35,Female,Smart TV,1 Month
330,Basic,06-07-22,26-06-23,Italy,40,Female,Smart TV,1 Month
331,Premium,08-07-22,26-06-23,United States,29,Female,Tablet,1 Month
332,Basic,22-07-22,26-06-23,Canada,31,Male,Tablet,1 Month
333,Standard,24-07-22,27-06-23,United Kingdom,43,Female,Smart TV,1 Month
334,Standard,28-07-22,28-06-23,Australia,34,Male,Smart TV,1 Month
335,Basic,11-08-22,25-06-23,Germany,47,Female,Tablet,1 Month
336,Premium,02-09-22,26-06-23,France,35,Male,Laptop,1 Month
337,Basic,11-10-22,27-06-23,Brazil,36,Male,Laptop,1 Month
338,Standard,15-10-22,27-06-23,Mexico,33,Male,Tablet,1 Month
339,Premium,05-10-22,25-06-23,Spain,30,Female,Laptop,1 Month
340,Basic,13-09-22,25-06-23,Italy,44,Female,Smartphone,1 Month
341,Premium,24-08-22,26-06-23,United States,44,Female,Laptop,1 Month
342,Basic,09-08-22,26-06-23,Canada,41,Female,Laptop,1 Month
343,Standard,06-08-22,25-06-23,United Kingdom,46,Male,Smart TV,1 Month
344,Standard,07-08-22,26-06-23,Australia,42,Female,Smartphone,1 Month
345,Basic,08-08-22,25-06-23,Germany,48,Female,Smart TV,1 Month
346,Premium,31-08-22,26-06-23,France,37,Male,Tablet,1 Month
347,Basic,21-09-22,28-06-23,Brazil,29,Male,Smartphone,1 Month
348,Standard,05-10-22,26-06-23,Mexico,30,Male,Smart TV,1 Month
349,Premium,02-11-22,26-06-23,Spain,28,Male,Smartphone,1 Month
350,Basic,02-11-22,28-06-23,Italy,44,Female,Smartphone,1 Month
351,Premium,02-11-22,28-06-23,United States,34,Female,Smart TV,1 Month
352,Basic,20-09-22,26-06-23,Canada,38,Male,Laptop,1 Month
353,Standard,10-08-22,26-06-23,United Kingdom,34,Female,Smartphone,1 Month
354,Standard,16-08-22,28-06-23,Australia,40,Female,Laptop,1 Month
355,Basic,12-10-22,27-06-23,Germany,32,Female,Tablet,1 Month
356,Premium,14-10-22,30-06-23,France,38,Male,Smart TV,1 Month
357,Basic,18-10-22,26-06-23,Brazil,39,Male,Smartphone,1 Month
358,Standard,11-11-22,28-06-23,Mexico,34,Female,Smart TV,1 Month
359,Premium,20-11-22,26-06-23,Spain,41,Male,Smartphone,1 Month
360,Basic,21-11-22,30-06-23,Italy,43,Female,Tablet,1 Month
361,Premium,25-11-22,28-06-23,United States,36,Female,Laptop,1 Month
362,Basic,08-12-22,27-06-23,Canada,31,Male,Laptop,1 Month
363,Standard,01-11-22,25-06-23,United Kingdom,47,Female,Smart TV,1 Month
364,Standard,12-10-22,29-06-23,Australia,48,Male,Smart TV,1 Month
365,Basic,13-10-22,27-06-23,Germany,36,Male,Laptop,1 Month
366,Premium,17-10-22,29-06-23,France,41,Male,Smart TV,1 Month
367,Basic,23-10-22,25-06-23,Brazil,32,Male,Laptop,1 Month
368,Standard,24-10-22,28-06-23,Mexico,28,Male,Smartphone,1 Month
369,Premium,25-10-22,27-06-23,Spain,46,Female,Smartphone,1 Month
